wind_speed,wind_direction,surface_moisture,ignition_type_metadata,run_id,link
1.0,230,0.05,Ignite_Aerial.dat,80aa1808-adc0-42c1-88e5-abfe3cfc5c41,https://wifire-data.sdsc.edu/data/burnpro3d/d/80/aa/run_80aa1808-adc0-42c1-88e5-abfe3cfc5c41/quicfire.zarr
1.0,230,0.05,Ignite_LongFireline_Outwards.dat,d7a29471-89ef-4372-a39f-16f3f306edde,https://wifire-data.sdsc.edu/data/burnpro3d/d/d7/a2/run_d7a29471-89ef-4372-a39f-16f3f306edde/quicfire.zarr
1.0,230,0.05,Ignite_Strip_Southwards.dat,85a4e12f-3016-4531-a062-fe5e6dca07eb,https://wifire-data.sdsc.edu/data/burnpro3d/d/85/a4/run_85a4e12f-3016-4531-a062-fe5e6dca07eb/quicfire.zarr
1.0,230,0.05,Ignite_LongFireline_Inwards.dat,dd17e766-419e-439f-91e4-876a48d600bf,https://wifire-data.sdsc.edu/data/burnpro3d/d/dd/17/run_dd17e766-419e-439f-91e4-876a48d600bf/quicfire.zarr
1.0,230,0.05,Ignite_Strip_Northwards.dat,8f2da49a-9f67-4cce-b207-875c207b0ce9,https://wifire-data.sdsc.edu/data/burnpro3d/d/8f/2d/run_8f2da49a-9f67-4cce-b207-875c207b0ce9/quicfire.zarr
1.0,230,0.1,Ignite_Aerial.dat,1678bf1c-359f-44a6-8379-0a306dd244bf,https://wifire-data.sdsc.edu/data/burnpro3d/d/16/78/run_1678bf1c-359f-44a6-8379-0a306dd244bf/quicfire.zarr
1.0,230,0.1,Ignite_LongFireline_Outwards.dat,32382a24-6754-4129-8d44-ecace26122d0,https://wifire-data.sdsc.edu/data/burnpro3d/d/32/38/run_32382a24-6754-4129-8d44-ecace26122d0/quicfire.zarr
1.0,230,0.1,Ignite_Strip_Southwards.dat,2dc3bec6-6b6a-40c9-9a37-3bbf864d85e9,https://wifire-data.sdsc.edu/data/burnpro3d/d/2d/c3/run_2dc3bec6-6b6a-40c9-9a37-3bbf864d85e9/quicfire.zarr
1.0,230,0.1,Ignite_LongFireline_Inwards.dat,c61e5b2d-c2a7-4d16-b646-306dad2a9f65,https://wifire-data.sdsc.edu/data/burnpro3d/d/c6/1e/run_c61e5b2d-c2a7-4d16-b646-306dad2a9f65/quicfire.zarr
1.0,230,0.1,Ignite_Strip_Northwards.dat,1fb2d601-6236-4ed8-ac95-7a2660620021,https://wifire-data.sdsc.edu/data/burnpro3d/d/1f/b2/run_1fb2d601-6236-4ed8-ac95-7a2660620021/quicfire.zarr
1.0,230,0.15,Ignite_Aerial.dat,f607bcaf-a644-464c-85d3-04eb7c11d993,https://wifire-data.sdsc.edu/data/burnpro3d/d/f6/07/run_f607bcaf-a644-464c-85d3-04eb7c11d993/quicfire.zarr
1.0,230,0.15,Ignite_LongFireline_Outwards.dat,afd38a93-3416-4baf-97ca-5181c0681bb4,https://wifire-data.sdsc.edu/data/burnpro3d/d/af/d3/run_afd38a93-3416-4baf-97ca-5181c0681bb4/quicfire.zarr
1.0,230,0.15,Ignite_Strip_Southwards.dat,26c38bdb-c19b-4e01-b21e-98f2a490d9ea,https://wifire-data.sdsc.edu/data/burnpro3d/d/26/c3/run_26c38bdb-c19b-4e01-b21e-98f2a490d9ea/quicfire.zarr
1.0,230,0.15,Ignite_LongFireline_Inwards.dat,1b4e3ea0-6f77-4336-b56d-4e8bc1fddef1,https://wifire-data.sdsc.edu/data/burnpro3d/d/1b/4e/run_1b4e3ea0-6f77-4336-b56d-4e8bc1fddef1/quicfire.zarr
1.0,230,0.15,Ignite_Strip_Northwards.dat,3eb538a9-40f3-4bf6-afda-1101cc015450,https://wifire-data.sdsc.edu/data/burnpro3d/d/3e/b5/run_3eb538a9-40f3-4bf6-afda-1101cc015450/quicfire.zarr
1.0,240,0.05,Ignite_Aerial.dat,e16ca879-e137-4fd9-8251-7c365628df37,https://wifire-data.sdsc.edu/data/burnpro3d/d/e1/6c/run_e16ca879-e137-4fd9-8251-7c365628df37/quicfire.zarr
1.0,240,0.05,Ignite_LongFireline_Outwards.dat,f3b9f2a6-5446-4daf-9432-77167d18ef17,https://wifire-data.sdsc.edu/data/burnpro3d/d/f3/b9/run_f3b9f2a6-5446-4daf-9432-77167d18ef17/quicfire.zarr
1.0,240,0.05,Ignite_Strip_Southwards.dat,c3064dd1-5a1b-4af9-bc07-0d17b94c1371,https://wifire-data.sdsc.edu/data/burnpro3d/d/c3/06/run_c3064dd1-5a1b-4af9-bc07-0d17b94c1371/quicfire.zarr
1.0,240,0.05,Ignite_LongFireline_Inwards.dat,2caacc38-9e17-4135-ba3d-530213a6a25f,https://wifire-data.sdsc.edu/data/burnpro3d/d/2c/aa/run_2caacc38-9e17-4135-ba3d-530213a6a25f/quicfire.zarr
1.0,240,0.05,Ignite_Strip_Northwards.dat,73bc8cba-8ed0-4ef1-8e05-0e53b01067c1,https://wifire-data.sdsc.edu/data/burnpro3d/d/73/bc/run_73bc8cba-8ed0-4ef1-8e05-0e53b01067c1/quicfire.zarr
1.0,240,0.1,Ignite_Aerial.dat,53cbc3aa-2379-4976-8be4-55bfabbcc514,https://wifire-data.sdsc.edu/data/burnpro3d/d/53/cb/run_53cbc3aa-2379-4976-8be4-55bfabbcc514/quicfire.zarr
1.0,240,0.1,Ignite_LongFireline_Outwards.dat,936d1705-fc2b-4fea-abec-0a37434ae8d1,https://wifire-data.sdsc.edu/data/burnpro3d/d/93/6d/run_936d1705-fc2b-4fea-abec-0a37434ae8d1/quicfire.zarr
1.0,240,0.1,Ignite_Strip_Southwards.dat,83ef7c1f-26c8-4ba2-808f-2cdad34c0615,https://wifire-data.sdsc.edu/data/burnpro3d/d/83/ef/run_83ef7c1f-26c8-4ba2-808f-2cdad34c0615/quicfire.zarr
1.0,240,0.1,Ignite_LongFireline_Inwards.dat,0852a371-fe5d-4e12-ab93-dd327441f847,https://wifire-data.sdsc.edu/data/burnpro3d/d/08/52/run_0852a371-fe5d-4e12-ab93-dd327441f847/quicfire.zarr
1.0,240,0.1,Ignite_Strip_Northwards.dat,48413b56-1df6-4a1e-af27-bc97418a2b0a,https://wifire-data.sdsc.edu/data/burnpro3d/d/48/41/run_48413b56-1df6-4a1e-af27-bc97418a2b0a/quicfire.zarr
